代码,名称,日期,周收益(%),近一月(%),近三月(%),近半年(%),近一年(%),总收益(%),净值
159745,国泰中证全指建筑材料ETF,2026-04-29,-0.86,-0.86,-0.85,-12.51,-1.07,-35.53,0.64
159107,富国创业板软件ETF,2026-04-29,-4.49,-0.87,1.95,-13.39,-8.11,-12.32,0.88
513660,华夏沪港通恒生ETF,2026-04-29,-0.21,-0.88,3.67,-8.70,-4.23,61.99,1.56
512290,国泰中证生物医药ETF,2026-04-29,1.96,-0.89,3.44,-3.89,-11.31,-1.16,0.99
159898,招商中证全指医疗器械ETF,2026-04-29,-1.47,-0.92,0.46,-6.68,-8.57,-47.05,0.53
560160,易方达中证全指食品ETF,2026-04-29,2.01,-0.95,3.66,-1.33,-0.95,-0.95,0.99
159312,广发恒指港股通ETF,2026-04-29,-0.32,-0.96,3.40,-8.27,-4.56,22.72,1.23
561320,国泰中证内地运输主题ETF,2026-04-29,-0.62,-1.00,-1.15,-0.01,-1.13,-3.07,0.97
510710,博时上证50ETF,2026-04-29,1.42,-1.01,4.99,-3.74,-1.26,32.32,4.28
520960,嘉实恒指港股通ETF,2026-04-29,-0.28,-1.03,3.51,-8.51,-4.67,-4.57,0.95
562600,华夏中证全指医疗器械ETF,2026-04-29,-1.45,-1.05,0.46,-6.79,-9.11,-16.17,0.84
159151,华夏中证全指食品ETF,2026-04-29,2.01,-1.06,3.45,-1.69,-1.06,-1.06,0.99
159920,华夏恒生ETF,2026-04-29,-0.32,-1.10,3.75,-8.48,-4.51,63.09,1.55
159365,富国恒指港股通ETF,2026-04-29,-0.31,-1.10,3.47,-8.58,-4.59,3.87,1.04
510010,交银上证180公司治理ETF,2026-04-29,0.17,-1.12,1.90,-4.37,0.68,97.26,1.77
516930,生物科技ETF基金,2026-04-29,0.10,-1.13,2.88,-4.97,-10.95,-50.32,0.50
159849,招商中证生物科技主题ETF,2026-04-29,0.10,-1.14,2.88,-5.02,-10.94,-49.71,0.50
517990,招商中证沪港深500医药卫生ETF,2026-04-29,-0.51,-1.17,1.10,-6.53,-10.29,-12.14,0.88
159256,华夏创业板软件ETF,2026-04-29,-4.51,-1.22,1.80,-13.68,-8.54,-2.95,0.97
159366,港股医疗ETF,2026-04-29,-1.90,-1.23,1.60,-12.43,-13.84,35.23,1.35
513210,易方达恒生ETF(QDII),2026-04-29,-0.31,-1.24,3.69,-8.54,-4.73,56.44,1.56
520510,华夏中证港股通医疗主题ETF,2026-04-29,-1.90,-1.29,1.59,-12.36,-13.73,-11.33,0.89
510850,上证50ETF工银,2026-04-29,1.32,-1.31,4.75,-3.98,-1.46,47.33,3.57
530050,上证50ETF东财,2026-04-29,1.42,-1.34,4.84,-4.06,-1.64,17.73,1.18
510680,万家上证50ETF,2026-04-29,1.44,-1.34,5.05,-3.89,-1.86,219.70,3.20
159318,恒生港股通ETF,2026-04-29,-0.28,-1.36,3.12,-8.50,-4.50,36.12,1.36
520940,华安恒指港股通ETF,2026-04-29,-0.26,-1.39,3.23,-8.45,-4.72,4.13,1.04
159797,汇添富中证全指医疗器械ETF,2026-04-29,-1.64,-1.43,-0.01,-7.16,-9.49,-26.22,0.74
588860,科创医药ETF工银,2026-04-29,-3.13,-1.44,1.71,-4.52,-8.69,36.94,0.68
512010,易方达沪深300医药ETF,2026-04-29,2.56,-1.48,2.50,-3.02,-11.06,49.20,0.37
159557,嘉实恒生医疗保健ETF(QDII),2026-04-29,-4.45,-1.51,-0.01,-10.14,-11.53,46.39,1.46
530000,天弘上证50ETF,2026-04-29,1.33,-1.54,4.74,-4.24,-2.10,38.36,1.38
510950,广发上证50ETF,2026-04-29,1.25,-1.59,4.74,-4.26,-2.08,27.47,0.99
588700,嘉实上证科创板生物医药ETF,2026-04-29,-3.16,-1.60,1.70,-4.67,-8.80,2.86,1.03
159883,医疗器械ETF永赢,2026-04-29,-1.64,-1.60,-0.04,-7.28,-9.57,-51.99,0.48
513600,南方恒生指数ETF,2026-04-29,-0.38,-1.63,3.37,-9.25,-5.00,52.75,2.88
513060,博时恒生医疗保健(QDII-ETF),2026-04-29,-4.45,-1.67,0.02,-10.35,-11.77,-42.21,0.58
510100,易方达上证50ETF,2026-04-29,1.32,-1.70,4.80,-4.29,-2.20,36.68,2.97
159728,南方国证在线消费ETF,2026-04-29,-3.23,-1.75,3.00,-14.88,-4.86,-7.66,0.92
159131,华宝中证港股通信息技术综合ETF,2026-04-29,1.34,-1.79,13.56,-8.37,-9.89,-9.89,0.90
510190,华安上证50ETF,2026-04-29,1.23,-1.84,4.52,-4.37,-2.45,66.24,4.34
510060,央企ETF工银,2026-04-29,0.42,-1.88,1.86,-2.33,-3.44,68.08,2.63
159760,医疗健康,2026-04-29,0.83,-1.89,1.63,-3.38,-10.77,-41.37,0.59
562320,300价值A,2026-04-29,0.68,-1.89,1.83,-2.27,0.16,34.13,1.34
520820,汇添富恒指港股通ETF,2026-04-29,-0.27,-1.90,3.44,-8.51,-3.50,-3.50,0.96
510800,建信上证50ETF,2026-04-29,1.24,-1.95,4.59,-4.55,-2.54,40.23,1.40
159239,富国恒生港股通汽车主题ETF,2026-04-29,-4.57,-1.96,-0.19,-1.55,-11.51,-0.12,1.00
159121,易方达恒生港股通汽车主题ETF,2026-04-29,-4.58,-1.97,-0.26,-1.59,-5.16,-5.16,0.95
159303,大成恒生医疗保健ETF(QDII),2026-04-29,-4.35,-1.99,0.07,-10.46,-11.95,60.26,1.60
510050,华夏上证50ETF,2026-04-29,1.24,-2.00,4.55,-4.64,-2.75,419.58,3.04
159007,华泰柏瑞中证畜牧养殖产业ETF,2026-04-29,-0.63,-2.01,-2.01,-2.01,-2.01,-2.01,0.98
159271,鹏华恒生ETF,2026-04-29,-0.43,-2.01,3.08,-9.10,-5.22,-0.40,1.00
563380,华泰柏瑞中证全指航空航天ETF,2026-04-29,-4.92,-2.02,3.19,-9.49,14.25,14.25,1.14
510600,申万菱信上证50ETF,2026-04-29,1.23,-2.03,4.44,-4.60,-2.70,58.77,3.90
159619,国泰中证基建ETF,2026-04-29,-1.02,-2.03,-0.96,-6.92,-4.83,3.36,1.03
562050,华宝中证制药ETF,2026-04-29,-1.59,-2.05,-0.67,-2.68,-7.75,-1.55,0.98
516950,基建ETF,2026-04-29,-1.00,-2.05,-0.94,-6.86,-4.77,14.00,1.14
159635,华夏中证基建ETF,2026-04-29,-1.00,-2.06,-0.96,-6.95,-4.97,9.38,1.09
588130,华夏上证科创板生物医药ETF,2026-04-29,-3.32,-2.08,1.29,-5.05,-9.69,5.31,1.05
588250,鹏华上证科创板生物医药ETF,2026-04-29,-3.34,-2.11,1.28,-5.04,-9.66,7.21,1.07
159725,线上消费ETF工银,2026-04-29,-2.90,-2.16,2.79,-17.89,-2.08,-9.23,0.91
560330,申万菱信沪深300价值ETF,2026-04-29,0.67,-2.16,1.79,-2.39,-0.43,23.92,1.24
159179,港股通互联网ETF工银,2026-04-29,-3.08,-2.17,-1.51,-2.17,-2.17,-2.17,0.98
159960,平安恒生中国企业ETF,2026-04-29,0.61,-2.23,3.65,-7.46,-6.59,8.81,0.89
159181,易方达国证石油天然气ETF,2026-04-29,3.26,-2.33,-0.16,-2.33,-2.33,-2.33,0.98
517800,方正富邦沪港深人工智能50ETF,2026-04-29,-1.90,-2.38,10.17,-9.66,-6.91,3.01,1.03
159391,博时国证大盘价值ETF,2026-04-29,1.31,-2.42,2.13,-1.42,0.00,11.35,1.11
159643,国泰国证疫苗与生物科技ETF,2026-04-29,-0.33,-2.46,2.88,-6.22,-12.31,-42.85,0.57
560880,广发中证全指家用电器ETF,2026-04-29,1.66,-2.50,5.90,-4.02,-1.78,58.96,1.59
515020,华夏中证银行ETF,2026-04-29,-0.25,-2.62,1.26,3.38,-1.06,70.42,1.70
520790,兴业中证港股通互联网ETF,2026-04-29,-3.09,-2.71,-2.34,-2.71,-2.71,-2.71,0.97
159730,博时龙头家电ETF,2026-04-29,1.81,-2.73,4.28,-1.27,-3.18,8.15,1.08
159189,华夏国证石油天然气ETF,2026-04-29,3.25,-2.74,-0.12,-2.74,-2.74,-2.74,0.97
526010,汇添富中证港股通医疗主题ETF,2026-04-29,-1.89,-2.76,-2.76,-2.76,-2.76,-2.76,0.97
562900,易方达中证现代农业主题ETF,2026-04-29,-0.21,-2.84,-1.07,-3.45,-4.11,-22.57,0.77
516310,易方达中证银行ETF,2026-04-29,-0.22,-2.84,1.16,3.18,-1.32,32.19,1.32
516210,华安中证银行ETF,2026-04-29,-0.24,-2.85,1.08,3.08,-1.38,36.25,1.36
512730,银行FUND,2026-04-29,-0.25,-2.89,1.07,3.04,-1.48,63.93,1.64
159257,汇添富国证通用航空产业ETF,2026-04-29,-5.20,-2.91,4.33,-9.23,6.42,11.97,1.12
512800,华宝中证银行ETF,2026-04-29,-0.26,-2.91,1.06,3.07,-1.53,59.20,0.80
159392,富国国证通用航空产业ETF,2026-04-29,-5.13,-2.92,4.55,-9.05,6.52,20.83,1.21
512700,南方中证银行ETF,2026-04-29,-0.25,-2.93,1.08,3.13,-1.54,87.47,1.52
515290,天弘中证银行ETF,2026-04-29,-0.26,-2.93,1.10,3.12,-1.42,43.52,1.44
159275,华宝中证全指农牧渔ETF,2026-04-29,-0.53,-2.95,-1.11,-4.09,-3.48,-4.16,0.96
159231,华宝国证通用航空产业ETF,2026-04-29,-5.14,-2.95,4.49,-9.05,6.38,29.06,0.65
159230,华夏国证通用航空产业ETF,2026-04-29,-5.14,-2.96,4.63,-9.08,6.44,23.59,1.24
159996,国泰中证全指家用电器ETF,2026-04-29,1.56,-2.97,5.68,-4.41,-2.40,51.02,1.51
159657,生物疫苗ETF,2026-04-29,-0.51,-2.97,2.33,-6.68,-12.68,-37.60,0.62
520770,建信恒指港股通ETF,2026-04-29,-0.27,-2.98,3.51,-8.15,-3.02,-3.02,0.97
512820,中证银行ETF,2026-04-29,-0.26,-3.00,1.07,3.05,-1.57,62.30,1.40
513080,华安法国CAC40ETF,2026-04-28,-1.96,-3.03,6.09,-3.19,-4.00,71.95,--
516670,招商中证畜牧养殖ETF,2026-04-29,-0.80,-3.04,0.19,-4.27,-4.53,-31.68,0.68
159645,富国国证疫苗与生物科技ETF,2026-04-29,-0.49,-3.06,2.35,-6.69,-12.78,-35.53,0.64
159887,富国中证800银行ETF,2026-04-29,-0.26,-3.06,1.09,3.18,-1.43,30.24,1.30
159253,博时中证银行ETF,2026-04-29,-0.28,-3.08,1.00,2.91,-4.74,-4.74,0.95
159165,养殖ETF永赢,2026-04-29,-0.63,-3.12,-0.40,-3.12,-3.12,-3.12,0.97
516230,招商中证光伏产业ETF,2026-04-29,-2.28,-3.14,-4.08,-3.14,-3.14,-3.14,0.97
513990,招商上证港股通ETF,2026-04-29,-0.77,-3.15,3.83,-10.52,-6.85,15.95,1.16
159867,畜牧ETF,2026-04-29,-0.80,-3.15,0.15,-4.33,-5.94,-37.96,0.62
516760,平安中证畜牧养殖ETF,2026-04-29,-0.82,-3.18,0.18,-4.37,-5.56,-34.63,0.65
159662,南方国证交通运输行业ETF,2026-04-29,-0.91,-3.21,-1.26,-2.06,-3.27,2.05,1.02
159865,国泰中证畜牧养殖ETF,2026-04-29,-0.81,-3.23,0.11,-4.42,-5.47,-38.85,0.61
516600,消费服务ETF工银,2026-04-29,0.79,-3.25,2.88,-5.40,-7.32,-37.41,0.63
560400,华泰柏瑞中证全指证券公司ETF,2026-04-29,-0.08,-3.27,3.12,-3.27,-3.27,-3.27,0.97
159255,易方达国证通用航空产业ETF,2026-04-29,-5.25,-3.28,4.21,-9.31,6.11,11.32,1.11
515460,南方中证全指红利质量ETF,2026-04-29,0.19,-3.35,1.74,-3.35,-3.35,-3.35,0.97
512750,嘉实基本面50ETF,2026-04-29,0.63,-3.43,1.15,-1.75,-4.45,44.46,1.44
561120,富国中证全指家用电器ETF,2026-04-29,1.42,-3.44,5.32,-4.82,-2.99,34.31,1.34
159169,广发恒生生物科技ETF,2026-04-29,-4.59,-3.46,0.20,-3.46,-3.46,-3.46,0.97
159378,通用航空ETF永赢,2026-04-29,-5.32,-3.47,4.12,-9.60,5.98,32.83,1.33
159699,广发恒生消费(QDII-ETF),2026-04-29,-1.34,-3.54,0.65,-10.66,-8.15,-3.93,0.96
513970,景顺长城恒生消费ETF(QDII),2026-04-29,-1.31,-3.55,0.61,-10.66,-8.30,-11.23,0.89
520620,嘉实恒生消费ETF,2026-04-29,-1.33,-3.56,0.62,-10.71,-8.30,-11.80,0.88
520520,华泰柏瑞恒生消费ETF(QDII),2026-04-29,-1.32,-3.65,0.60,-10.67,-8.39,3.17,1.03
512710,富国中证军工龙头ETF,2026-04-29,-5.81,-3.65,0.41,-11.95,5.70,50.58,0.75
159788,易方达中证港股通中国100ETF,2026-04-29,-0.21,-3.67,2.94,-9.90,-9.42,28.77,1.29
560370,易方达中证全指红利质量ETF,2026-04-29,0.19,-3.75,1.74,-3.75,-3.75,-3.75,0.96
515970,华夏中证工程机械主题ETF,2026-04-29,3.51,-3.89,9.35,-3.89,-3.89,-3.89,0.96
510090,建信上证社会责任ETF,2026-04-29,0.49,-3.94,1.04,-4.99,-2.17,211.37,2.61
510030,上证180价值ETF,2026-04-29,0.28,-3.97,0.66,-2.20,-1.84,191.66,1.06
